crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-3-Clause	BSL-1.0	CDLA-Permissive-2.0	ISC	LGPL-2.1-or-later	MIT	Unicode-3.0	Unlicense
windows_x86_64_gnu@0.52.6	X							X		
windows_x86_64_gnu@0.53.1	X							X		
windows_x86_64_gnullvm@0.52.6	X							X		
windows_x86_64_gnullvm@0.53.1	X							X		
windows_x86_64_msvc@0.52.6	X							X		
windows_x86_64_msvc@0.53.1	X							X		
winsafe@0.0.19								X		
wit-bindgen@0.46.0	X	X						X		
writeable@0.6.2									X	
yoke@0.8.1									X	
yoke-derive@0.8.1									X	
zerofrom@0.1.6									X	
zerofrom-derive@0.1.6									X	
zeroize@1.8.2	X							X		
zerotrie@0.2.3									X	
zerovec@0.11.5									X	
zerovec-derive@0.11.2									X	
zmij@1.0.12								X		
